block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
328,349,10,1000,102.54478473243128,102.54478473243128,1701657632.3597035,47.61904761904762
470,523,10,2000,91.26868227483405,91.26868227483405,1701658410.8344371,37.735849056603776
688,748,10,3000,130.33067933447919,126.80235093308752,1701662532.9854734,50.0
941,1029,10,4000,26.36956203854773,26.36956203854773,1701664713.1916318,45.45454545454545
1271,1375,10,5000,131.6743736178045,129.33258664153536,1701667599.7194514,48.07692307692308
1708,1824,10,6000,138.25167852335068,132.4736815572564,1701672379.2069232,51.724137931034484
2328,2466,10,7000,142.66775354213067,142.66775354213067,1701674801.7236025,50.72463768115942
2994,3157,10,8000,139.56296852927974,132.01569968250735,1701675630.824696,49.079754601226995
15734,15917,10,9000,140.66366006362378,138.85368273575352,1701747983.427913,49.18032786885246
4003,4203,10,10000,143.94306514252017,143.64003787904974,1701687549.126733,50.0
17800,18030,10,11000,136.0229616872911,132.93026426500612,1701759183.1486347,47.82608695652174
16204,16448,10,12000,146.81011162110102,142.28809283517018,1701748350.4613056,49.18032786885246
5739,5999,10,13000,147.08298638283702,147.08298638283702,1701701702.8810804,50.0
6918,6922,10,14000,147.91377556742094,114.51582028550766,1701702697.4069328,3500.0
8174,8476,10,15000,147.03389139732812,145.44047026704183,1701704190.0811605,49.66887417218543
9236,9556,10,16000,148.7198396011849,146.8269445077379,1701706470.9571366,50.0
16560,16563,10,17000,137.98856456534938,130.7507972055709,1701748687.60544,5666.666666666667
11715,12073,10,18000,150.2718937982903,148.1436132084706,1701712692.0441303,50.279329608938546
17182,17185,10,19000,141.9842072987886,128.915013707821,1701753105.6038685,6333.333333333333
14749,15169,10,20000,147.25354797397182,140.0150421425779,1701747171.4790645,47.61904761904762
