block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
3913,3931,10,1000,180.22029904132623,175.66614699098872,1701754439.2366335,55.55555555555556
3992,4025,10,2000,193.297567680564,187.97813799074538,1701754571.0512528,60.60606060606061
4148,4229,10,3000,172.39830934322396,114.02195731883693,1701754733.8817441,37.03703703703704
4366,4434,10,4000,192.66735670448668,184.7485754733145,1701754922.5333853,58.8235294117647
4595,4679,10,5000,194.15102128763058,193.3648167014585,1701755108.2587006,59.523809523809526
4875,4970,10,6000,206.73878029571983,206.73878029571983,1701755314.208496,63.1578947368421
5213,5324,10,7000,209.8441052980914,203.63081426804044,1701755533.58674,63.06306306306306
5592,5718,10,8000,207.56289993183762,206.27957683871261,1701755763.54477,63.492063492063494
6020,6166,10,9000,202.94828436652693,201.663694190681,1701756014.0140023,61.64383561643836
6517,6689,10,10000,191.30933273377224,189.2067303875776,1701756285.6476307,58.13953488372093
7068,7261,10,11000,183.75820004998997,183.36586401806616,1701756576.720658,56.994818652849744
7674,7862,10,12000,211.36833141539418,210.4030686965406,1701756874.9687207,63.829787234042556
8294,8504,10,13000,201.79496735970193,201.78329336444207,1701757185.427504,61.904761904761905
9089,9347,10,14000,178.0574520986681,178.0574520986681,1701757576.730962,54.263565891472865
9920,10195,10,15000,176.5935209728094,176.5935209728094,1701757963.2189248,54.54545454545455
10790,11095,10,16000,201.1245547763969,172.43032356402387,1701758354.057198,52.459016393442624
11685,11991,10,17000,192.1984885932976,183.69136733351536,1701758764.0465572,55.55555555555556
12597,12890,10,18000,203.44524472390657,202.76519540560906,1701759145.3085876,61.43344709897611
13572,13872,10,19000,210.22364681735073,210.01054734356626,1701759556.0442102,63.333333333333336
14554,14869,10,20000,210.03987770242085,209.5508790820286,1701759978.7398584,63.492063492063494
