block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
176,217,10,1000,79.42665815535433,77.62564618241124,1701754994.2594583,24.390243902439025
457,563,10,2000,75.20836395480872,61.04380789391045,1701755274.7972734,18.867924528301888
935,1053,10,3000,83.24723910759688,82.71436981688235,1701755603.5967853,25.423728813559322
1535,1695,10,4000,82.78135869260703,82.47429088626018,1701755981.9805758,25.0
2308,2515,10,5000,78.31879777652209,78.0886727181444,1701756402.8285358,24.154589371980677
3203,3437,10,6000,84.81425135998033,84.81425135998033,1701756861.8124845,25.641025641025642
4291,4950,10,7000,30.839124135629316,30.839124135629316,1701757404.651433,10.622154779969652
6063,6383,10,8000,83.34788967007533,82.60247562716438,1701758205.8554642,25.0
7548,7905,10,9000,84.17799194695836,83.52954282817073,1701758874.3470366,25.210084033613445
9155,9548,10,10000,84.48600684293878,84.31871277874113,1701759559.8469849,25.44529262086514
10933,11382,10,11000,81.7173637306142,81.2634559288531,1701760312.064245,24.498886414253896
12788,13264,10,12000,83.89790475221028,83.71863412795288,1701761067.719486,25.210084033613445
15062,15690,10,13000,80.01240473493634,63.42815885788082,1701762208.1493258,20.70063694267516
17512,18301,10,14000,69.17825283217445,54.867419917649634,1701763227.1713817,17.74397972116603
20218,20223,10,15000,41.44956548218848,38.84501789368423,1701764764.5006254,3000.0
23245,23249,10,16000,77.17439677153459,40.99058842893092,1701766396.5954251,4000.0
29145,29150,10,18000,67.19111233944605,43.018836099471294,1701775752.4896433,3600.0
32566,32571,10,19000,52.683172104599635,46.80233493961985,1701777276.250192,3800.0
35811,36714,10,20000,80.31877102332821,69.62980940670779,1701779311.184011,22.148394241417495
