block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
5,35,10,1000,96.59650424511005,96.2541881770753,1701800908.6725698,33.333333333333336
36,108,10,2000,38.27848074420072,38.27848074420072,1701800957.2667706,27.77777777777778
109,194,10,3000,111.77146590431056,111.73958642863701,1701801045.7086713,35.294117647058826
195,319,10,4000,102.41300933076467,98.97259130184042,1701801110.2447135,32.25806451612903
320,460,10,5000,117.98023890452103,117.75740895172105,1701801185.5149322,35.714285714285715
1,122,10,6000,155.3474208319776,154.55272296570558,1701752348.6047406,49.586776859504134
123,259,10,7000,170.24177502831424,169.25345138112237,1701752425.919985,51.470588235294116
260,414,10,8000,171.49255960931686,170.8054920841811,1701752505.267753,51.94805194805195
415,599,10,9000,160.42195500771507,159.94078230223516,1701752591.3800316,48.91304347826087
600,842,10,10000,160.87113155531404,135.95001954616777,1701752688.7925231,41.32231404958678
843,1055,10,11000,172.8658230299312,172.22887891072693,1701752801.2549613,51.886792452830186
1056,1288,10,12000,171.36250507199617,170.79411366018513,1701752901.0646892,51.724137931034484
1289,1551,10,13000,166.00717735401093,164.56314485220767,1701753006.2921917,49.61832061068702
1552,1822,10,14000,171.71049423281949,171.40742001388264,1701753120.7488735,51.851851851851855
1823,2126,10,15000,163.68245171384766,163.1813687142363,1701753243.749558,49.504950495049506
2127,2449,10,16000,168.973431407222,163.72332729798998,1701753372.152262,49.68944099378882
2450,2785,10,17000,170.17303092858884,167.11516209014275,1701753505.1154008,50.74626865671642
2786,3137,10,18000,171.6428356712498,169.91163471990134,1701753649.4749942,51.282051282051285
3138,3504,10,19000,172.26281188430002,171.7303163864251,1701753796.0546315,51.91256830601093
3505,3893,10,20000,176.67739407655176,170.48915265897963,1701753947.0055609,51.54639175257732
