block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
49,53,10,1000,43.744240071305605,43.744240071305605,1701761601.1486123,250.0
71,74,10,2000,130.3353365347484,130.3353365347484,1701761890.1794965,666.6666666666666
85,88,10,3000,185.54465875552964,185.54465875552964,1701762066.4210198,1000.0
99,104,10,4000,196.88719154540064,169.92658093326364,1701762239.9419622,800.0
121,127,10,5000,180.90988326261518,158.08500402181622,1701762462.782073,833.3333333333334
144,152,10,6000,178.83889708696967,153.9879394727755,1701762680.3276014,750.0
177,185,10,7000,200.37389962931408,179.315974078366,1701763531.006458,875.0
205,213,10,8000,198.4801776603516,193.27704434173202,1701763840.9804301,1000.0
233,242,10,9000,224.48302998704344,207.44624494266415,1701764166.8247037,1000.0
264,274,10,10000,227.98546919634364,210.8357478684664,1701764461.1408796,1000.0
300,312,10,11000,194.1187730022057,180.23162309373555,1701764763.974525,916.6666666666666
339,353,10,12000,215.00663315480242,181.71074116176868,1701765127.731392,857.1428571428571
384,398,10,13000,190.1457423789351,190.1457423789351,1701765475.9709601,928.5714285714286
429,444,10,14000,211.89647728289265,191.85137389552423,1701765868.010297,933.3333333333334
477,492,10,15000,209.90714708797884,200.0423969087048,1701766247.2318397,1000.0
526,542,10,16000,199.60472221247073,192.92782184701306,1701766645.218609,1000.0
579,597,10,17000,204.07080188632972,189.04750933116162,1701767057.7591925,944.4444444444445
636,654,10,18000,196.2726124854505,194.43075135864845,1701767466.5111132,1000.0
694,714,10,19000,219.33201098047144,194.60185323882854,1701767981.595019,950.0
756,777,10,20000,202.9709019884311,193.15052767297144,1701768505.3676157,952.3809523809524
