block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
3894,3912,10,1000,156.12048540025438,154.38978819068743,1701754396.4012973,55.55555555555556
3954,3991,10,2000,162.6535197005427,160.86555358325901,1701754524.115241,54.054054054054056
4089,4147,10,3000,171.40234760474186,165.76126552591973,1701754676.9036298,51.724137931034484
4295,4365,10,3804,176.30880638890227,174.01217008392229,1701754862.7825358,54.34285714285714
4507,4594,10,5000,186.8821620172372,186.5634753071833,1701755044.6074033,57.47126436781609
4772,4874,10,6000,190.0433495699147,187.85817835835795,1701755241.38365,58.8235294117647
5078,5212,10,6347,187.26694612839665,145.42890850420378,1701755447.2424035,47.365671641791046
5448,5591,10,8000,183.99066853932155,183.17410650607104,1701755681.0061204,55.94405594405595
5860,6019,10,9000,186.8973369908299,185.7546635823265,1701755926.175821,56.60377358490566
6338,6516,10,10000,184.44246961386412,183.35202613130332,1701756186.5157413,56.17977528089887
6871,7067,10,11000,185.64309437523494,184.40508309472878,1701756476.7634525,56.12244897959184
8839,9088,10,11730,178.66336556102073,154.87736768490942,1701757449.0379896,47.10843373493976
10527,10789,10,11937,180.0598309723633,129.08487913346016,1701758230.4831705,45.56106870229008
7458,7673,10,12000,184.22575071734312,183.8226279736253,1701756771.2582405,55.81395348837209
11417,11684,10,12629,165.3827788598633,141.989802432477,1701758639.5068798,47.29962546816479
8071,8293,10,13000,194.3404596093951,192.46405601274267,1701757076.8112545,58.55855855855856
9663,9919,10,13984,180.7427009902603,171.092645851802,1701757833.5118265,54.625
12285,12596,10,18000,191.8749002623153,191.24069541236872,1701759015.502605,57.87781350482315
13232,13571,10,19000,187.7877900463899,184.0998110180978,1701759411.920493,56.04719764011799
14206,14553,10,20000,190.52562600281385,189.93275081279043,1701759833.4133205,57.636887608069166
