block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
58,62,10,1000,44.67723176798702,37.76070972610864,1701315602.780916,250.0
700,704,10,2000,90.09158503988401,75.10495344662611,1701321008.4866557,500.0
720,725,10,3000,96.0541428033662,93.28179967334117,1701321108.4679072,600.0
741,749,10,4000,97.62111291939785,88.00445454629163,1701321214.796528,500.0
765,774,10,5000,97.56399221965691,95.8947708493413,1701321333.1930795,555.5555555555555
790,802,10,6000,92.96178621293208,91.56099139902156,1701321459.9684432,500.0
818,835,10,7000,90.14594567354985,77.9690286292563,1701321600.5733218,411.7647058823529
852,874,10,8000,68.16515549170808,68.16515549170808,1701321768.5372863,363.6363636363636
890,907,10,9000,100.3544871172633,99.6237949789447,1701321960.2933593,529.4117647058823
923,943,10,10000,100.23171132974062,94.99101143227472,1701322125.094976,500.0
959,980,10,11000,99.50412931423048,98.64486824071632,1701322304.0960014,523.8095238095239
996,1020,10,12000,98.9970805755789,95.80549218940791,1701322490.1347952,500.0
1036,1066,10,13000,102.55304379051013,83.19903425383187,1701322689.2228823,433.3333333333333
1083,1111,10,14000,98.01160405035348,95.79481772300304,1701322924.2254295,500.0
1128,1165,10,15000,77.37376858798456,77.37376858798456,1701323147.0373797,405.4054054054054
1182,1221,10,16000,80.79112407107894,79.3437728059083,1701323418.5019124,410.2564102564103
1237,1276,10,17000,94.07485628876462,85.04355570891501,1701323695.5892067,435.8974358974359
1293,1331,10,18000,98.94249932423546,87.93210409084413,1701323972.8512836,473.6842105263158
1348,1385,10,19000,98.55710646145316,98.38890747393441,1701324254.7164366,513.5135135135135
1401,1441,10,20000,99.80301999791246,97.62183804897637,1701324522.3846564,500.0
