block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1322,1324,10,1000,3.486742575295928,95.35291849874723,1701791128.2491019,500.0
62,69,10,2000,14.702302408149745,8.389112382003113,1701769277.7735324,285.7142857142857
123,127,10,3000,277.0191448431649,235.22098023124067,1701775409.6070905,750.0
159,162,10,4000,173.7775799460025,173.7775799460025,1701776240.682195,1333.3333333333333
185,191,10,5000,158.55954802886018,158.03667066483598,1701776726.0063396,833.3333333333334
219,227,10,6000,161.35878992778296,145.80227380394982,1701777369.6935332,750.0
258,267,10,7000,182.56246404021482,167.77158246051033,1701777848.436077,777.7777777777778
307,317,10,8000,175.68963046723482,164.76558044492552,1701778982.1280384,800.0
355,366,10,9000,200.3152889100124,172.56950510531163,1701779444.0937405,818.1818181818181
417,429,10,10000,164.62041892880586,163.6513120940808,1701780062.6769876,833.3333333333334
475,488,10,11000,208.28883530218303,176.65178679054964,1701780639.9188561,846.1538461538462
538,553,10,12000,205.93175368522765,164.8487738497094,1701781191.3687632,800.0
607,624,10,13000,157.95673112014467,151.28856410065134,1701781771.9413972,764.7058823529412
679,697,10,14000,160.14491449452112,154.9608625254989,1701782586.0812187,777.7777777777778
756,774,10,15000,197.38561898452568,170.37928687681796,1701783212.1213343,833.3333333333334
845,865,10,16000,159.3832306397577,156.31901413212998,1701783879.1794884,800.0
933,954,10,17000,170.79966133830106,161.61829066688168,1701784840.4259675,809.5238095238095
1029,1051,10,18000,169.22077500384634,163.32412557496218,1701785802.7507188,818.1818181818181
1132,1157,10,19000,180.55559411098363,141.24775943915137,1701786645.9036744,760.0
1251,1277,10,20000,167.71347181273066,152.3489567624766,1701787908.2787662,769.2307692307693
