block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
139,175,10,1000,84.39290538765268,84.39290538765268,1701754922.9808266,27.77777777777778
382,456,10,2000,87.27362887932073,87.27362887932073,1701755198.963704,27.027027027027028
810,934,10,3000,77.97185811278534,77.97185811278534,1701755519.4765282,24.193548387096776
1382,1534,10,4000,87.55865375340701,85.20123602261674,1701755876.0336926,26.31578947368421
2128,2307,10,5000,90.06999838851675,89.61016802352064,1701756305.3359823,27.932960893854748
2987,3202,10,6000,92.23275232539783,91.95012010447367,1701756750.7117798,27.906976744186046
4009,4290,10,7000,90.0885444867088,81.36892132850707,1701757245.0317636,24.91103202846975
5770,6062,10,8000,90.4144572643426,90.21117167156301,1701758052.4982731,27.397260273972602
7225,7547,10,9000,92.47033542349641,92.31783228521046,1701758734.4970365,27.950310559006212
8744,9154,10,10000,91.82475449613372,79.56537544390335,1701759373.6956089,24.390243902439025
10442,10932,10,11000,86.02561937130024,70.05747638965599,1701760105.956436,22.448979591836736
12358,12787,10,12000,92.50517501507059,92.42417624074602,1701760897.8769925,27.972027972027973
14540,15061,10,13000,82.27768707799481,82.27768707799481,1701762009.50262,24.952015355086374
16954,17511,10,14000,86.37930421018562,83.1995802598775,1701763011.426985,25.134649910233392
19528,20217,10,15000,70.88001343894337,69.84169357065593,1701764453.7794282,21.77068214804064
22471,22477,10,16000,73.20582049583625,46.3873337973455,1701765986.8540494,2666.6666666666665
28337,29144,10,18000,86.31771868606471,72.20196497892167,1701775437.238106,22.304832713754646
31751,31757,10,19000,32.9604324946387,15.540572445825145,1701776887.0536797,3166.6666666666665
34941,35810,10,20000,70.70303580699355,70.70303580699355,1701778992.9733844,23.014959723820482
