block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
3095,3097,10,1000,63.74982172960314,63.74982172960314,1701332991.6672602,500.0
3113,3116,10,2000,96.26590599977493,96.26590599977493,1701333081.9797816,666.6666666666666
3132,3137,10,3000,109.22358980713673,100.0246633779818,1701333177.2921476,600.0
3153,3159,10,4000,111.2336660408053,111.2336660408053,1701333281.761042,666.6666666666666
3175,3183,10,5000,113.53779462373319,110.53833203711852,1701333392.2160406,625.0
3199,3209,10,6000,114.83731946679481,107.93286403747057,1701333511.9117053,600.0
3225,3236,10,7000,113.7126410459154,113.7126410459154,1701333641.0791957,636.3636363636364
3252,3265,10,8000,114.00127791743321,113.77998241593185,1701333777.2212462,615.3846153846154
3281,3296,10,9000,114.94417879886407,111.89017020403485,1701333922.084329,600.0
3312,3328,10,10000,116.31217752836062,116.31217752836062,1701334076.7687595,625.0
3344,3362,10,11000,116.6139524479332,115.24762139014308,1701334237.2624795,611.1111111111111
3378,3398,10,12000,113.4382773597934,113.4382773597934,1701334406.7278905,600.0
3414,3435,10,13000,117.53456703295201,117.53456703295201,1701334587.2101893,619.047619047619
3451,3474,10,14000,117.73363245376606,116.58732695039747,1701334772.3338728,608.695652173913
3490,3515,10,15000,116.4723992869017,115.03118381197898,1701334967.2388296,600.0
3531,3558,10,16000,117.49698508748257,114.32464575791468,1701335172.1731932,592.5925925925926
3574,3602,10,17000,119.52722168250942,115.9271960207251,1701335385.6816833,607.1428571428571
3618,3647,10,18000,118.22234503049603,118.22234503049603,1701335605.3913913,620.6896551724138
3663,3694,10,19000,118.80467567117427,118.77626124132031,1701335832.4513676,612.9032258064516
3710,3744,10,20000,116.03039657736421,113.5748758118773,1701336066.3835983,588.2352941176471
