block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
44,48,10,1000,56.46204781777634,44.62900039988656,1701761503.7481248,250.0
61,70,10,2000,47.31396813415917,47.31396813415917,1701761799.1756046,222.22222222222223
80,84,10,3000,163.00364563680944,149.602365868459,1701762006.4199705,750.0
94,98,10,4000,215.78657076269522,200.90088240777487,1701762179.3225849,1000.0
112,120,10,5000,133.81623161110792,125.54794569693082,1701762383.6120977,625.0
136,143,10,6000,190.83697344134626,164.91451082061047,1701762605.6880896,857.1428571428571
164,173,10,7000,155.3635618832673,155.3635618832673,1701762879.0925174,777.7777777777778
196,204,10,8000,208.83250939874063,193.6185156086306,1701763715.040434,1000.0
224,232,10,9000,226.5445053273883,225.19323914232464,1701764052.619263,1125.0
254,263,10,10000,223.1078273749426,221.7558072381652,1701764355.9517186,1111.111111111111
288,299,10,11000,210.98823958777643,197.56632768521752,1701764664.6746309,1000.0
326,338,10,12000,210.75598353000467,209.92813167951832,1701764998.6527689,1000.0
370,383,10,13000,202.19333434891584,196.99014871261556,1701765356.6887105,1000.0
415,428,10,14000,217.44316441626327,213.7248431057781,1701765745.5103242,1076.923076923077
462,476,10,15000,210.28487542566486,207.28110013494333,1701766127.9069452,1071.4285714285713
510,525,10,16000,228.7777088968363,214.1639057048085,1701766501.8963568,1066.6666666666667
562,578,10,17000,213.1173562487711,208.1931998291868,1701766927.5754654,1062.5
618,635,10,18000,220.38814103704925,208.1467637731593,1701767330.386712,1058.8235294117646
676,693,10,19000,215.29786577666172,214.76086328577907,1701767811.4405732,1117.6470588235295
736,755,10,20000,214.70723250459443,209.8771962655441,1701768309.948475,1052.6315789473683
