block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
40,40,10,1000,51.58678413525106,97.65445402354324,1701761428.4323392,
1265,1267,10,1000,0,112.25545909745085,1701799996.222707,500.0
54,60,10,1445,47.460569358189844,47.460569358189844,1701761698.011238,240.83333333333334
75,79,10,3000,170.15416087675706,146.93176468418847,1701761946.8927412,750.0
89,93,10,4000,211.51724602522563,201.82243052302502,1701762120.1713982,1000.0
105,111,10,5000,177.49482688149104,166.63314578053442,1701762301.8017282,833.3333333333334
128,135,10,5708,168.6138884272724,157.4617743765164,1701762530.1742008,815.4285714285714
153,163,10,6447,162.04549042868513,127.73771854943378,1701762787.4124205,644.7
186,195,10,8000,189.52167580893774,173.0861576863004,1701763610.1693645,888.8888888888889
214,223,10,9000,209.45004811286807,200.43615871747113,1701763934.55294,1000.0
243,253,10,10000,215.62064632639874,200.51667214103654,1701764262.0019283,1000.0
275,287,10,11000,218.30629919598124,194.34278111136027,1701764562.7361352,916.6666666666666
313,325,10,12000,188.31307293857577,187.67500669352452,1701764873.1520379,1000.0
354,369,10,13000,183.37112042972953,172.3397818349471,1701765242.5184124,866.6666666666666
399,414,10,14000,214.67113812176234,193.80329330169212,1701765616.9947646,933.3333333333334
445,461,10,15000,194.63983320830494,183.57684383282214,1701765986.2616894,937.5
493,509,10,16000,219.5740148591635,203.60738607196475,1701766371.2906287,1000.0
543,561,10,17000,193.62694251418944,186.30890334497894,1701766779.6587517,944.4444444444445
598,617,10,18000,193.3498785880204,186.69732291309384,1701767193.5947254,947.3684210526316
655,675,10,19000,209.1788032389108,193.939311705782,1701767638.1898415,950.0
715,735,10,20000,199.7847110279138,196.65466547232353,1701768146.7383318,1000.0
