block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1576,1577,10,1000,51.12029186158184,101.9139068692721,1701609159.0919993,1000.0
1895,1898,10,2000,100.05771850003676,100.05771850003676,1701610920.2896745,666.6666666666666
2617,2622,10,3000,118.80961679241008,105.50289896939273,1701615396.2370646,600.0
2707,2712,10,4000,163.3149324119501,139.255971691899,1701615846.0883791,800.0
2800,2806,10,5000,166.66886058707328,149.1313792809927,1701616310.9693263,833.3333333333334
2897,2905,10,6000,149.3124436166746,138.81277246032366,1701616796.7437449,750.0
3000,3008,10,7000,166.55279421818926,161.6425191675553,1701617311.537192,875.0
3107,3116,10,8000,171.00409520437026,163.16487266231167,1701617846.1963966,888.8888888888889
3218,3228,10,9000,168.4216493398348,168.4216493398348,1701618401.009819,900.0
3335,3347,10,10000,165.9368493812013,154.81683727850415,1701618985.4293914,833.3333333333334
3458,3470,10,11000,171.3865313064329,162.0952301087993,1701619596.8930347,916.6666666666666
3583,3597,10,12000,173.1464343475566,163.38638793552107,1701620226.3258483,857.1428571428571
3713,3728,10,13000,172.3181206069767,166.61402991748258,1701620876.7479575,866.6666666666666
3854,3872,10,14000,162.12812953192184,150.038308579362,1701621581.314323,777.7777777777778
4006,4027,10,15000,165.89586928492542,138.42417271993727,1701622341.6333861,714.2857142857143
4169,4195,10,16000,168.6482557640265,120.20765914859952,1701623156.4056952,615.3846153846154
4339,4366,10,17000,165.76660686961878,122.30624867828016,1701624006.2227993,629.6296296296297
4521,4553,10,18000,167.959283918739,109.89917425792996,1701624915.4893637,562.5
4712,4744,10,19000,169.2904824655863,115.99501574440502,1701625870.8036044,593.75
4912,4950,10,20000,156.61705709270285,103.74517404961598,1701626871.5974047,526.3157894736842
