block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
7,7,10,414,15.968740829046604,44.57830953493052,1701763016.4442575,
47,51,10,2000,96.26505528060893,96.26505528060893,1701768480.1084895,500.0
105,109,10,3000,164.8790581215259,152.86748154119886,1701774954.5698013,750.0
135,140,10,4000,179.94522673892354,162.17871320484187,1701775600.76232,800.0
171,177,10,5000,185.3575120321834,179.51808656851784,1701776472.6530266,833.3333333333334
202,210,10,6000,167.59489303943315,149.8528329767224,1701777153.267018,750.0
239,248,10,7000,175.52236861266363,160.8586280972157,1701777625.0848281,777.7777777777778
286,296,10,8000,160.50270571707173,149.65313214735824,1701778752.2801392,800.0
332,343,10,9000,192.54244860825406,165.87247202883432,1701779223.5779219,818.1818181818181
383,398,10,10000,168.80008013256835,134.88115928637967,1701779724.5711002,666.6666666666666
447,461,10,11000,163.10338688305015,154.62159021673162,1701780370.8575678,785.7142857142857
508,523,10,12000,167.74705359237885,160.69204639633,1701780953.8166444,800.0
574,590,10,13000,160.65328699198227,159.63282200782737,1701781496.0673594,812.5
645,661,10,14000,188.93920650027573,174.77468823507618,1701782156.4653192,875.0
720,738,10,15000,169.52741250884313,164.6401734521596,1701782940.0169735,833.3333333333334
799,822,10,16000,165.29767621575255,138.607117415671,1701783550.0399082,695.6521739130435
891,912,10,17000,187.65628148890616,140.4387334475268,1701784424.1457896,809.5238095238095
984,1007,10,18000,155.15503831289422,153.4827918224486,1701785372.2676978,782.6086956521739
1085,1109,10,19000,162.82686564592703,156.01663869774123,1701786278.5568364,791.6666666666666
1191,1218,10,20000,162.36240868839363,148.79409635427442,1701787320.008847,740.7407407407408
