block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
283,305,10,1000,101.41211765853117,101.41211765853117,1701657419.9455705,45.45454545454545
424,469,10,2000,115.46054492884137,112.45255665207542,1701658167.850586,44.44444444444444
621,687,10,3000,121.39406289460254,121.39406289460254,1701662404.5882845,45.45454545454545
849,940,10,4000,119.7282769793879,117.14137033661444,1701664571.048799,43.956043956043956
1162,1270,10,5000,129.8686027500199,129.8686027500199,1701666197.7584229,46.2962962962963
1578,1707,10,6000,130.92035409690232,125.68873069809929,1701672147.5483592,46.51162790697674
2177,2327,10,7000,132.4225065317443,131.30549311422843,1701674652.6410694,46.666666666666664
2819,2993,10,8000,133.01561669034783,131.85283907733407,1701675474.8381596,45.97701149425287
3375,3576,10,9000,43.810005251883325,43.810005251883325,1701677863.6620808,44.776119402985074
3786,4002,10,10000,135.17875915541646,125.54218170129131,1701687359.4642177,46.2962962962963
4690,4923,10,11000,138.9845418430905,119.35762008218941,1701688389.0566213,47.21030042918455
17694,17698,10,12000,119.44543073123248,111.11963721344208,1701755483.7836678,3000.0
15918,16203,10,13000,136.38835389001053,135.08064286746747,1701748150.9754434,45.6140350877193
6622,6917,10,14000,142.21893849937987,142.21893849937987,1701702497.642336,47.45762711864407
7858,8173,10,15000,142.8420023115628,141.61227101547513,1701703991.443625,47.61904761904762
8895,9235,10,16000,138.61684988091682,133.60358903496095,1701706263.3183131,47.05882352941177
10346,10722,10,17000,134.02379709244977,76.27005372096077,1701707443.7236273,45.212765957446805
11335,11714,10,18000,141.46845420484271,136.53714859732963,1701712471.8380103,47.4934036939314
13036,13477,10,19000,139.48170051553112,126.82912866721483,1701713607.436002,43.08390022675737
14230,14748,10,20000,135.05218896270242,116.72209200809075,1701746908.9009795,38.61003861003861
