block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1599,1601,10,1000,58.74908303682034,79.86704001614366,1701609276.0238106,500.0
1933,1935,10,2000,118.08128454208031,118.08128454208031,1701611107.9585085,1000.0
2630,2633,10,3000,158.28143141644588,158.28143141644588,1701615461.0778017,1000.0
2720,2724,10,4000,169.92612417316175,169.92612417316175,1701615911.0371804,1000.0
2814,2819,10,5000,169.9197383765792,169.9197383765792,1701616380.848925,1000.0
2913,2920,10,6000,177.37800024764152,157.47873603583204,1701616876.6794782,857.1428571428571
3016,3024,10,7000,180.40558965537588,162.24352942450184,1701617391.6358762,875.0
3124,3132,10,8000,183.6052717416256,183.6052717416256,1701617930.8968332,1000.0
3236,3246,10,9000,178.75580703253485,168.43617113133314,1701618491.2447007,900.0
3355,3366,10,10000,179.27703962922178,170.04772106928485,1701619085.8060043,909.0909090909091
3478,3490,10,11000,183.29750029258526,172.75716394547766,1701619701.0765517,916.6666666666666
3605,3618,10,12000,185.77945247552267,173.83328704546972,1701620335.5779169,923.0769230769231
3736,3751,10,13000,179.23364273651694,164.89144065794977,1701620991.1324008,866.6666666666666
3880,3899,10,14000,179.07244663061206,139.9447577948695,1701621710.2910767,736.8421052631579
4035,4057,10,15000,176.1931435253739,132.40049314847903,1701622486.316224,681.8181818181819
4203,4226,10,16000,178.0018046710386,134.2633822998933,1701623325.2669168,695.6521739130435
4374,4401,10,17000,176.73103441240713,123.26774375839489,1701624181.7853992,629.6296296296297
4561,4589,10,18000,181.11376346743523,125.7242170767415,1701625116.4211702,642.8571428571429
4752,4782,10,19000,178.78609476118478,124.2185435736297,1701626071.4942913,633.3333333333334
4959,4991,10,20000,179.84094455521466,120.0543192303114,1701627103.2749946,625.0
